Celsius,Fahrenheit,Humidity
6.7,44.06,48.897284183763
5.0,41.0,61.913247554004
4.4,39.92,62.22531255064
2.8,37.04,72.260618939253
2.8,37.04,69.646389672147
2.8,37.04,72.260618939253
1.7,35.06,75.319972812856
2.2,35.96,72.679601462421
2.8,37.04,66.620363339567
1.7,35.06,75.319972812856
2.2,35.96,69.521786837686
2.2,35.96,69.521786837686
2.8,37.04,69.646389672147
6.7,44.06,55.046476441697
10.0,50.0,45.99379467218
12.8,55.04,39.636484526325
15.6,60.08,34.539706012759
16.7,62.059999999999995,33.628498620744
18.3,64.94,30.398894889868
19.4,66.92,30.714252522308
20.0,68.0,27.343368294552
19.4,66.92,29.421107591354
16.1,60.980000000000004,39.183839375951
15.0,59.0,43.875674180323
12.2,53.96,54.534546384907
10.0,50.0,63.101629529279
8.9,48.02,67.942265381454
8.3,46.94,70.756646043571
8.3,46.94,70.756646043571
7.8,46.04,70.658045543322
7.8,46.04,73.201672074915
6.1,42.980000000000004,79.390286642183
6.1,42.980000000000004,76.077010996322
5.6,42.08,78.753376184584
5.6,42.08,78.753376184584
5.0,41.0,82.104692489025
5.0,41.0,82.104692489025
9.4,48.92,70.971964459347
13.3,55.94,52.935170405058
18.3,64.94,41.524660943753
20.0,68.0,35.819023407528
20.6,69.08,34.515809249439
21.7,71.06,31.151274073464
22.2,71.96,30.215464079584
22.2,71.96,31.293364225584
21.1,69.98,36.386997379645
18.9,66.02,39.994527654352
16.1,60.980000000000004,51.505492740567
14.4,57.92,57.445914140707
13.3,55.94,61.697619772929
11.7,53.06,66.196513833378
11.1,51.98,68.877362479151
10.6,51.08,68.297978074013
10.0,50.0,71.088489426375
10.0,50.0,68.173048569669
8.9,48.02,73.402721805054
7.2,44.96,79.552255325388
6.7,44.06,78.920027625265
6.7,44.06,78.920027625265
7.2,44.96,76.261148548036
7.8,46.04,76.360744861859
10.0,50.0,76.720923803697
13.9,57.02,61.838774319798
17.8,64.04,48.19537826697
19.4,66.92,40.417401328958
20.6,69.08,37.523507614787
20.6,69.08,37.523507614787
21.7,71.06,33.642276077597
20.6,69.08,37.523507614787
18.9,66.02,44.983643850339
17.2,62.959999999999994,50.055164265978
16.1,60.980000000000004,51.505492740567
15.0,59.0,59.604608806527
13.3,55.94,66.541382376326
12.8,55.04,68.750377788705
11.1,51.98,74.307349532131
10.0,50.0,79.956420984676
9.4,48.92,79.870781661168
8.3,46.94,86.028130972357
7.8,46.04,85.976252301
7.8,46.04,85.976252301
6.7,44.06,88.909043890296
6.7,44.06,85.262756549264
5.6,42.08,88.816089115542
6.7,44.06,85.262756549264
11.7,53.06,73.905075949333
13.3,55.94,71.717959085678
17.2,62.959999999999994,55.830161087985
20.0,68.0,48.797949894362
21.1,69.98,43.784608609645
22.2,71.96,44.092571572412
22.2,71.96,42.632430318721
22.2,71.96,42.632430318721
21.7,71.06,43.952808991396
20.0,68.0,48.797949894362
18.3,64.94,52.093093105562
17.2,62.959999999999994,58.142820591561
13.9,57.02,71.830365829443
13.3,55.94,77.246795999401
12.2,53.96,80.266011265195
11.1,51.98,86.313549377715
11.1,51.98,82.880385175758
10.0,50.0,86.202442841334
9.4,48.92,86.141284587185
9.4,48.92,86.141284587185
8.9,48.02,89.091584214285
8.9,48.02,86.090017231195
8.9,48.02,86.090017231195
8.3,46.94,89.656134409309
12.8,55.04,79.811182429167
15.6,60.08,72.145507882091
20.0,68.0,54.68805334134
22.8,73.04,46.068163473186
24.4,75.92,46.506326792909
25.0,77.0,46.669625348466
25.0,77.0,46.669625348466
24.4,75.92,49.979117495885
23.3,73.94,53.397094170713
22.8,73.04,57.227125645661
22.8,73.04,55.037015331205
21.7,71.06,58.847971651165
21.1,69.98,61.051107934259
19.4,66.92,65.6345401749
19.4,66.92,65.6345401749
17.2,62.959999999999994,72.437660318587
17.2,62.959999999999994,72.437660318587
16.7,62.059999999999995,72.346821714672
15.6,60.08,77.603412846276
14.4,57.92,83.831702542696
14.4,57.92,86.639151568653
13.3,55.94,90.036281705393
13.3,55.94,86.531884394108
13.3,55.94,86.531884394108
16.7,62.059999999999995,74.769652314474
21.1,69.98,63.480539479395
23.3,73.94,55.521946436074
25.6,78.08,46.528188094986
26.1,78.98,46.96757376811
26.7,80.06,45.333890837523
27.2,80.96,44.021266992733
25.6,78.08,48.37970318981
25.6,78.08,49.971847445519
24.4,75.92,49.979117495885
23.9,75.02,49.846493874396
21.1,69.98,61.051107934259
21.7,71.06,58.847971651165
19.4,66.92,67.813430858596
18.3,64.94,72.636050676412
17.2,62.959999999999994,77.846834739521
16.7,62.059999999999995,80.352964765246
