Celsius,Fahrenheit,Humidity
25.0,77.0,60.008901812122
23.3,73.94,71.239385163397
22.2,71.96,78.583746586071
22.0,71.6,78.062863996432
22.2,71.96,78.583746586071
21.7,71.06,84.117198153574
21.7,71.06,84.117198153574
21.7,71.06,81.017581632195
21.7,71.06,81.017581632195
21.7,71.06,81.017581632195
22.2,71.96,78.583746586071
21.1,69.98,84.050698469602
20.6,69.08,86.675935118971
20.6,69.08,83.994973551121
21.1,69.98,84.050698469602
21.1,69.98,84.050698469602
21.1,69.98,84.050698469602
21.1,69.98,87.266357692714
21.0,69.8,88.353665604321
21.1,69.98,87.266357692714
20.6,69.08,89.992032132584
20.6,69.08,89.992032132584
20.6,69.08,89.992032132584
20.6,69.08,89.992032132584
20.6,69.08,92.839980753296
20.6,69.08,92.839980753296
20.6,69.08,89.992032132584
20.0,68.0,89.94856028028
20.0,68.0,89.94856028028
20.0,68.0,89.94856028028
20.0,68.0,89.94856028028
20.0,68.0,89.94856028028
18.9,66.02,89.868137503874
16.1,60.980000000000004,89.659105457718
14.4,57.92,90.117153427448
14.4,57.92,83.831702542696
14.4,57.92,83.831702542696
15.0,59.0,80.650223331602
15.0,59.0,77.511150721711
15.0,59.0,77.511150721711
16.1,60.980000000000004,75.162754589756
17.2,62.959999999999994,67.362333041274
16.7,62.059999999999995,69.530934577901
16.7,62.059999999999995,69.530934577901
16.7,62.059999999999995,69.530934577901
16.7,62.059999999999995,67.258616661607
16.1,60.980000000000004,69.876502911497
15.6,60.08,72.145507882091
15.0,59.0,72.034842210106
14.4,57.92,71.923565721953
13.9,57.02,74.290523029752
13.9,57.02,71.830365829443
13.3,55.94,71.717959085678
13.3,55.94,69.322490896102
12.2,53.96,66.304797658581
,,
11.1,51.98,68.877362479151
10.0,50.0,68.173048569669
10.0,50.0,65.824827442761
9.4,48.92,68.527334655366
7.2,44.96,73.611210708119
6.7,44.06,72.99849708106
7.2,44.96,73.611210708119
9.4,48.92,65.69233300022
11.1,51.98,58.64338077836
13.3,55.94,54.823568602679
14.4,57.92,47.248268299697
16.1,60.980000000000004,40.890358323204
17.8,64.04,33.948586355438
18.3,64.94,34.093695174979
18.3,64.94,32.898527245296
17.2,62.959999999999994,35.258610425386
15.0,59.0,38.862552721019
13.3,55.94,41.850974284509
13.3,55.94,41.850974284509
10.0,50.0,53.949660370835
8.3,46.94,65.447630659771
7.2,44.96,73.611210708119
7.2,44.96,76.261148548036
6.1,42.980000000000004,79.390286642183
7.2,44.96,73.611210708119
6.7,44.06,82.325880313448
7.2,44.96,79.552255325388
7.8,46.04,76.360744861859
8.9,48.02,76.541811205247
8.3,46.94,76.443291612891
8.9,48.02,67.942265381454
12.2,53.96,54.534546384907
13.3,55.94,46.93770497912
15.0,59.0,42.044566007574
16.1,60.980000000000004,39.183839375951
17.2,62.959999999999994,36.53951762562
17.8,64.04,33.948586355438
17.8,64.04,33.948586355438
16.1,60.980000000000004,36.218331360241
14.4,57.92,38.96694044764
12.8,55.04,46.795867603342
11.7,53.06,52.131989560281
11.7,53.06,52.131989560281
8.3,46.94,65.447630659771
8.9,48.02,62.844418715598
6.7,44.06,70.439505977909
6.1,42.980000000000004,76.077010996322
5.0,41.0,79.226480114693
4.4,39.92,82.614624284648
4.4,39.92,82.614624284648
4.4,39.92,82.614624284648
4.4,39.92,85.615924273902
5.6,42.08,82.183211819876
7.8,46.04,73.201672074915
8.3,46.94,73.810201907473
10.6,51.08,65.496980088065
12.2,53.96,56.888025431897
16.7,62.059999999999995,44.052362762361
17.8,64.04,41.092708039764
20.6,69.08,31.948165057274
22.8,73.04,32.802545283806
22.8,73.04,35.388553077728
21.7,71.06,36.307797793417
20.6,69.08,37.523507614787
20.0,68.0,43.47486662498
19.4,66.92,45.123994330123
18.9,66.02,44.983643850339
18.9,66.02,43.16334660497
18.3,64.94,43.291725163717
17.8,64.04,46.245115753983
18.3,64.94,43.291725163717
18.9,66.02,43.16334660497
20.0,68.0,45.291906152098
20.0,68.0,43.47486662498
20.0,68.0,46.856987253919
18.9,66.02,65.098376179697
19.4,66.92,67.813430858596
18.3,64.94,81.08942108913
17.8,64.04,83.677642887507
17.2,62.959999999999994,86.906635257068
17.2,62.959999999999994,83.608459924942
15.6,60.08,69.313504270939
16.7,62.059999999999995,53.467973535157
16.7,62.059999999999995,33.628498620744
16.7,62.059999999999995,27.411720414821
17.2,62.959999999999994,28.793521760721
17.2,62.959999999999994,23.402613340052
16.7,62.059999999999995,23.266235771666
16.7,62.059999999999995,24.156015738083
15.6,60.08,25.911148791536
13.9,57.02,28.911880443325
12.8,55.04,35.246634756377
11.7,53.06,39.311526263373
10.6,51.08,42.285496239344
9.4,48.92,47.882118070289
9.4,48.92,45.820200140669
8.9,48.02,45.675073063872
8.3,46.94,47.567077130119
7.2,44.96,51.267550652162
3.9,39.02,72.471548868089
2.8,37.04,78.320613177263
2.8,37.04,75.51236086397
2.2,35.96,78.80104509243
1.7,35.06,78.147164261716
1.1,33.98,81.581963887112
5.0,41.0,75.890852100197
,,
13.3,55.94,31.440733591393
14.4,57.92,26.959693740118
15.0,59.0,21.779492195609
15.6,60.08,18.521275066686
17.2,62.959999999999994,16.728175290012
16.1,60.980000000000004,19.532452565383
15.6,60.08,20.956704825091
13.9,57.02,23.383669680712
11.1,51.98,31.981487490304
8.9,48.02,42.095680379388
10.0,50.0,36.005565237249
8.9,48.02,38.767614827179
7.8,46.04,43.365987374469
